0.768,2.809,4.054,5.155,2.228,1.17,2.289,3.034,-1.4982478619,-0.834382236
0.75,2.781,4.087,5.145,2.228,1.165,2.312,3.08,-1.4989575148,-0.8342614174
0.754,2.743,4.082,5.14,2.191,1.175,2.331,3.057,-1.4995422363,-0.8341907263
0.707,2.79,4.12,5.206,2.186,1.175,2.308,3.08,-1.4997680187,-0.8342007399
0.717,2.776,4.068,5.08,2.2,1.17,2.312,3.08,-1.5005286932,-0.8341159225
0.731,2.814,4.087,5.14,2.214,1.179,2.312,3.052,-1.5013746023,-0.8339176178
0.717,2.8,4.073,5.352,2.176,1.17,2.284,3.076,-1.502371788,-0.8336570859
0.712,2.767,4.059,5.112,2.191,1.165,2.289,3.062,-1.5032032728,-0.8335618377
0.707,2.79,4.092,5.333,2.219,1.151,2.284,3.057,-1.5042060614,-0.8334133625
0.731,2.786,4.11,5.464,2.2,1.17,2.327,3.09,-1.5051202774,-0.8331727386
0.707,2.8,4.082,5.136,2.2,1.189,2.284,3.066,-1.5057462454,-0.8331003189
0.754,2.79,4.078,5.197,2.233,1.179,2.284,3.071,-1.5060617924,-0.8330936432
0.703,2.813,4.096,5.159,2.186,1.161,2.317,3.062,-1.5066376925,-0.8330182433
0.707,2.813,4.101,5.173,2.242,1.165,2.28,3.057,-1.5070275068,-0.8329620957
0.745,2.804,4.092,5.145,2.214,1.156,2.294,3.062,-1.5073305368,-0.8329227567
0.693,2.818,4.092,5.173,2.2,1.165,2.308,3.062,-1.5079169273,-0.8329677582
0.721,2.851,4.12,5.712,2.214,1.179,2.298,3.062,-1.5095250607,-0.8329458833
0.703,2.809,4.073,5.159,2.233,1.175,2.294,3.071,-1.5112444162,-0.8327572346
0.726,2.814,4.068,5.136,2.205,1.175,2.298,3.095,-1.5118855238,-0.83240062
0.754,2.818,4.078,5.248,2.195,1.142,2.322,3.09,-1.5126088858,-0.831967473
0.717,2.822,4.101,5.389,2.214,1.189,2.284,3.048,-1.5133043528,-0.8314471245
0.717,2.776,4.12,5.524,2.223,1.193,2.298,3.085,-1.5135942698,-0.8313091993
0.745,2.851,4.078,5.234,2.237,1.175,2.294,3.066,-1.5145092011,-0.8312888145
0.75,2.79,4.134,5.122,2.219,1.156,2.312,3.099,-1.5151171684,-0.831281662
0.717,2.809,4.106,5.281,2.214,1.17,2.294,3.066,-1.5160433054,-0.8312276006
0.717,2.832,4.073,5.164,2.252,1.189,2.289,3.104,-1.5165518522,-0.8309169412
0.726,2.814,4.092,5.413,2.233,1.165,2.322,3.095,-1.5173047781,-0.8302720189
0.726,2.822,4.092,5.272,2.205,1.165,2.322,3.062,-1.5179823637,-0.8298406005
0.731,2.841,4.092,5.187,2.2,1.146,2.289,3.09,-1.5184810162,-0.8297023773
0.717,2.837,4.115,5.225,2.214,1.161,2.289,3.08,-1.5190907717,-0.8297041059
0.74,2.855,4.073,5.342,2.214,1.17,2.28,3.085,-1.5198349953,-0.8297809958
0.74,2.841,4.129,5.524,2.209,1.175,2.336,3.071,-1.520827055,-0.8295519352
0.717,2.851,4.078,5.192,2.242,1.17,2.312,3.066,-1.5213983059,-0.8291154504
0.736,2.893,4.087,5.244,2.237,1.146,2.303,3.076,-1.5217510462,-0.828674674
0.74,2.855,4.115,5.281,2.256,1.161,2.294,3.052,-1.5220893621,-0.8284483552
0.721,2.851,4.125,5.197,2.233,1.156,2.312,3.099,-1.5225939751,-0.828279078
0.74,2.869,4.11,5.445,2.195,1.128,2.312,3.08,-1.5236897469,-0.8279237151
0.74,2.879,4.12,5.244,2.252,1.146,2.294,3.071,-1.5246424675,-0.8276239634
0.726,2.855,4.078,5.277,2.233,1.156,2.294,3.076,-1.5254843235,-0.8272249103
0.74,2.86,4.125,5.595,2.247,1.151,2.317,3.076,-1.5259848833,-0.8269170523
0.736,2.851,4.073,5.309,2.247,1.156,2.275,3.066,-1.5268435478,-0.826675117
0.736,2.888,4.078,5.548,2.223,1.142,2.266,3.08,-1.5270889998,-0.8269437552
0.75,2.874,4.078,5.632,2.233,1.165,2.256,3.076,-1.5279185772,-0.8267566562
0.731,2.898,4.092,5.319,2.228,1.137,2.312,3.048,-1.5325402021,-0.824870348
0.726,2.86,4.054,5.314,2.209,1.161,2.294,3.052,-1.534635663,-0.824017942
0.759,2.869,4.073,5.323,2.223,1.128,2.284,3.057,-1.5357115269,-0.8235259056
0.721,2.902,4.082,5.361,2.237,1.123,2.28,3.062,-1.5374847651,-0.8227957487
0.731,2.86,4.11,5.474,2.214,1.128,2.294,3.057,-1.5408960581,-0.8216189742
0.731,2.874,4.11,5.277,2.242,1.123,2.312,3.052,-1.5423045158,-0.8213191032
0.731,2.879,4.092,5.389,2.247,1.123,2.294,3.048,-1.5433878899,-0.8207559586
0.721,2.888,4.082,5.328,2.237,1.142,2.289,3.019,-1.5450227261,-0.8197331429
0.717,2.888,4.068,5.286,2.233,1.1,2.298,3.034,-1.5468789339,-0.8186475039
0.74,2.912,4.068,5.389,2.237,1.11,2.298,3.043,-1.5490186214,-0.8173644543
0.721,2.921,4.096,5.478,2.233,1.11,2.27,3.048,-1.5512143374,-0.8165463209
0.721,2.898,4.087,5.422,2.233,1.095,2.284,3.034,-1.5530130863,-0.8162073493
0.717,2.916,4.125,5.323,2.237,1.105,2.289,3.038,-1.5552917719,-0.8155810237
0.745,2.883,4.115,5.417,2.233,1.132,2.322,3.034,-1.5568773747,-0.8148596287
0.726,2.898,4.143,5.375,2.247,1.114,2.298,3.024,-1.5588735342,-0.8136580586
0.721,2.898,4.143,5.459,2.256,1.114,2.317,3.034,-1.5611022711,-0.8122161031
0.731,2.898,4.125,5.534,2.256,1.128,2.298,3.029,-1.563036561,-0.8111270666
0.74,2.902,4.134,5.506,2.242,1.11,2.294,3.001,-1.5652303696,-0.8103707433
0.759,2.907,4.106,5.277,2.28,1.118,2.298,3.048,-1.5667765141,-0.8099853992
0.74,2.907,4.12,5.501,2.237,1.119,2.303,3.024,-1.5692204237,-0.8090734482
0.75,2.912,4.176,5.778,2.275,1.114,2.317,3.034,-1.5713353157,-0.8079485893
0.74,2.93,4.218,5.422,2.242,1.1,2.322,3.019,-1.5726950169,-0.8072398901
0.726,2.912,4.218,5.637,2.247,1.114,2.294,3.019,-1.5748132467,-0.8058875799
0.74,2.921,4.171,5.474,2.247,1.11,2.312,3.024,-1.576433897,-0.8052198887
0.754,2.907,4.228,5.408,2.275,1.114,2.341,3.019,-1.5783874989,-0.8043157458
0.736,2.926,4.157,5.389,2.261,1.114,2.327,3.043,-1.5822755098,-0.8021546006
0.74,2.949,4.11,5.497,2.237,1.119,2.331,3.019,-1.5864982605,-0.8002413511
0.74,2.921,4.195,5.356,2.261,1.095,2.317,3.005,-1.5895115137,-0.7988234162
0.754,2.898,4.27,5.314,2.252,1.11,2.322,2.996,-1.5911257267,-0.7980715036
0.768,2.944,4.148,5.553,2.294,1.114,2.355,3.01,-1.5943009853,-0.7960675359
0.745,2.949,4.19,5.323,2.275,1.142,2.322,3.015,-1.5982103348,-0.7938129902
0.726,2.93,4.195,5.375,2.28,1.118,2.359,2.996,-1.6011190414,-0.7920044065
0.75,2.959,4.214,5.543,2.27,1.132,2.378,3.005,-1.6037054062,-0.7905786633
0.75,2.93,4.251,5.506,2.266,1.132,2.383,3.01,-1.6074180603,-0.7882087231
0.75,2.959,4.153,5.497,2.275,1.1,2.355,2.996,-1.610899806,-0.7860600948
0.736,2.959,4.218,5.342,2.252,1.142,2.383,3.005,-1.6130125523,-0.7847402692
0.759,2.968,4.246,5.427,2.294,1.137,2.383,2.996,-1.6163370609,-0.7828273773
0.731,2.954,4.232,5.581,2.256,1.118,2.364,3.01,-1.6199495792,-0.7804211974
0.717,2.963,4.27,5.567,2.284,1.137,2.373,2.982,-1.6226434708,-0.7783926129
0.754,2.963,4.237,5.422,2.266,1.132,2.383,2.968,-1.625524044,-0.777023375
0.731,2.959,4.218,5.492,2.266,1.156,2.397,2.949,-1.6278948784,-0.7753503323
0.721,2.973,4.237,5.567,2.28,1.137,2.411,2.973,-1.6314022541,-0.7727032304
0.736,2.954,4.223,5.661,2.28,1.137,2.402,2.949,-1.6339396238,-0.7705171108
0.721,2.991,4.223,5.661,2.261,1.165,2.406,2.973,-1.6368265152,-0.7685724497
0.74,2.987,4.218,5.614,2.275,1.11,2.425,2.963,-1.6401132345,-0.7663974166
0.703,3.001,4.279,5.689,2.27,1.137,2.397,2.977,-1.6429429054,-0.7644153833
0.726,2.977,4.242,5.646,2.266,1.105,2.402,2.987,-1.645344615,-0.7627514005
0.717,2.996,4.209,5.51,2.275,1.118,2.43,2.977,-1.6474684477,-0.7612363696
0.74,3.015,4.265,5.717,2.28,1.119,2.416,2.977,-1.6510020495,-0.7582352161
0.74,2.996,4.279,5.773,2.317,1.114,2.434,2.977,-1.6537044048,-0.7556545734
0.721,3.019,4.274,5.782,2.28,1.095,2.42,2.963,-1.6561280489,-0.7539352775
0.712,2.996,4.27,5.492,2.303,1.077,2.425,2.949,-1.658731699,-0.7521646023
0.726,3.001,4.274,5.759,2.303,1.119,2.425,2.944,-1.6609909535,-0.7507631779
0.712,2.991,4.293,5.431,2.308,1.156,2.439,2.944,-1.6646645069,-0.7475957274
0.693,3.015,4.279,5.459,2.289,1.11,2.416,2.94,-1.6669820547,-0.7458629012
0.717,3.015,4.275,5.534,2.27,1.114,2.448,2.935,-1.6692649126,-0.7435045242
0.707,3.015,4.326,5.319,2.303,1.123,2.43,2.93,-1.6723235846,-0.7405225039
0.726,3.001,4.293,5.277,2.294,1.095,2.453,2.935,-1.6748274565,-0.7385014892
0.698,3.005,4.261,5.436,2.312,1.11,2.439,2.949,-1.6775789261,-0.7365500927
0.726,3.029,4.297,5.375,2.308,1.114,2.439,2.926,-1.679877162,-0.7350466251
0.721,3.034,4.279,5.286,2.298,1.123,2.439,2.912,-1.6829888821,-0.7327138782
0.731,3.048,4.288,5.295,2.298,1.123,2.388,2.912,-1.6857771874,-0.7300344706
0.721,3.038,4.307,5.333,2.298,1.091,2.42,2.944,-1.6878638268,-0.7277346849
0.703,3.048,4.265,5.352,2.275,1.161,2.416,2.935,-1.6903434992,-0.7248490453
0.703,3.052,4.27,5.361,2.27,1.114,2.383,2.93,-1.6916629076,-0.7237149477
0.693,3.043,4.274,5.352,2.28,1.114,2.43,2.93,-1.6941699982,-0.7219045758
0.693,3.019,4.27,5.431,2.284,1.11,2.397,2.893,-1.6974381208,-0.7192256451
0.721,3.019,4.326,5.366,2.294,1.156,2.388,2.926,-1.6997941732,-0.7175580859
0.698,3.019,4.302,5.384,2.298,1.146,2.373,2.893,-1.7022426128,-0.7151958942
0.684,3.029,4.326,5.356,2.298,1.179,2.364,2.907,-1.7042840719,-0.7131335139
0.684,3.071,4.33,5.417,2.303,1.114,2.35,2.935,-1.7075037956,-0.7095698118
0.698,3.043,4.302,5.492,2.303,1.179,2.378,2.907,-1.7097779512,-0.7078520656
0.74,3.034,4.288,5.37,2.308,1.128,2.355,2.898,-1.7125849724,-0.7052818537
0.717,3.062,4.302,5.361,2.27,1.086,2.35,2.898,-1.715498209,-0.7027516961
0.703,3.066,4.307,5.356,2.284,1.063,2.345,2.883,-1.7175379992,-0.7007733583
0.726,3.052,4.288,5.323,2.261,1.119,2.364,2.893,-1.7199429274,-0.6983585358
0.717,3.085,4.312,5.328,2.256,1.105,2.35,2.879,-1.7221022844,-0.6957610846
0.707,3.062,4.307,5.319,2.256,1.067,2.359,2.883,-1.7247234583,-0.6927226186
0.679,3.043,4.279,5.492,2.298,1.146,2.35,2.879,-1.7266514301,-0.6906735301
0.698,3.076,4.302,5.347,2.28,1.179,2.364,2.893,-1.7294877768,-0.6880612969
0.67,3.076,4.288,5.234,2.261,1.207,2.355,2.869,-1.73262465,-0.6842001081
0.684,3.057,4.354,5.286,2.261,1.221,2.364,2.874,-1.7341015339,-0.6828863621
0.684,3.076,4.321,5.277,2.247,1.184,2.406,2.879,-1.7360889912,-0.6802694798
0.684,3.057,4.326,5.319,2.261,1.221,2.378,2.879,-1.7381323576,-0.6778879166
0.665,3.071,4.321,5.291,2.294,1.086,2.425,2.869,-1.7409148216,-0.6735287905
0.665,3.076,4.302,5.281,2.289,1.091,2.402,2.869,-1.7428334951,-0.6713882089
0.665,3.08,4.321,5.314,2.261,1.175,2.43,2.827,-1.7446781397,-0.6695141792
0.679,3.085,4.288,5.291,2.284,1.17,2.425,2.832,-1.7474204302,-0.6663585901
0.684,3.071,4.321,5.337,2.294,1.072,2.439,2.841,-1.7496824265,-0.6634352803
